epoch,accuracy,loss,val_accuracy,val_loss
0,0.4791032373905182,1.1935667991638184,0.5100864768028259,1.1823219060897827
1,0.6645447015762329,0.8584864139556885,0.5504322648048401,1.1035616397857666
2,0.7082756757736206,0.715317964553833,0.579250693321228,1.0984196662902832
3,0.7860503792762756,0.5496534705162048,0.5850144028663635,1.2636334896087646
4,0.8344866037368774,0.4530276954174042,0.579250693321228,1.2002655267715454
5,0.8665928840637207,0.3725430965423584,0.5475504398345947,1.4183356761932373
6,0.8754497766494751,0.34097665548324585,0.559077799320221,1.4509570598602295
7,0.9155825972557068,0.24609054625034332,0.5533141493797302,1.6965256929397583
8,0.9144755005836487,0.24553562700748444,0.579250693321228,1.5497958660125732
9,0.9316357374191284,0.19181744754314423,0.5446686148643494,1.7815754413604736
10,0.9460282325744629,0.16387978196144104,0.5619596838951111,1.8339829444885254
11,0.9568225741386414,0.13185064494609833,0.5619596838951111,1.8966856002807617
12,0.9518405795097351,0.14449027180671692,0.5706051588058472,2.074171304702759
13,0.9451978802680969,0.15639175474643707,0.5331411957740784,2.1651129722595215
14,0.9648491740226746,0.1101517304778099,0.5648415088653564,2.0918288230895996
15,0.974259614944458,0.08790409564971924,0.5734870433807373,2.177422523498535
16,0.9637420177459717,0.10793139040470123,0.5533141493797302,2.133641481399536
17,0.9692776203155518,0.09443917870521545,0.5475504398345947,2.297022819519043
18,0.9687240719795227,0.09909722954034805,0.5417867302894592,2.29874324798584
19,0.9725989699363708,0.08296635746955872,0.5331411957740784,2.3596994876861572
20,0.9703847169876099,0.08477012068033218,0.5331411957740784,2.462794303894043
21,0.952117383480072,0.12471649050712585,0.5417867302894592,2.499154806137085
22,0.9612510204315186,0.12419994920492172,0.5677233338356018,2.502504825592041
23,0.9692776203155518,0.08607711642980576,0.5331411957740784,2.6524722576141357
24,0.975089967250824,0.07043925672769547,0.5706051588058472,2.4561960697174072
