epoch,accuracy,loss,val_accuracy,val_loss
0,0.36756157875061035,1.327538013458252,0.4207492768764496,1.2753188610076904
1,0.6509825587272644,0.9862608909606934,0.6714697480201721,0.9145905375480652
2,0.7946305274963379,0.5765306949615479,0.7031700015068054,0.7480856776237488
3,0.845557689666748,0.4161255359649658,0.7060518860816956,0.7747945189476013
4,0.8862441182136536,0.3266167640686035,0.7031700015068054,0.7934731245040894
5,0.9061721563339233,0.2714511752128601,0.6743515729904175,0.8699445724487305
6,0.9252698421478271,0.2202233523130417,0.6829971075057983,0.9272135496139526
7,0.9371713399887085,0.1876842975616455,0.6829971075057983,0.9696987867355347
8,0.9487960338592529,0.16099722683429718,0.6916426420211792,1.008657455444336
9,0.9604207277297974,0.13858842849731445,0.680115282535553,1.0503281354904175
10,0.9642956256866455,0.12079906463623047,0.6657060384750366,1.135831594467163
11,0.9692776203155518,0.10902643948793411,0.6628242135047913,1.2429726123809814
12,0.9695543646812439,0.10258783400058746,0.680115282535553,1.2251734733581543
13,0.9703847169876099,0.0967385545372963,0.6628242135047913,1.272728443145752
14,0.972045361995697,0.09268912672996521,0.6714697480201721,1.3211973905563354
15,0.971491813659668,0.08782706409692764,0.6599423885345459,1.3087238073349
16,0.9759202599525452,0.07945448160171509,0.6772334575653076,1.4404643774032593
17,0.9759202599525452,0.07853356003761292,0.6657060384750366,1.3870935440063477
18,0.9778577089309692,0.07082714885473251,0.6628242135047913,1.4274461269378662
19,0.9748131632804871,0.06801493465900421,0.651296854019165,1.4968461990356445
20,0.9753667116165161,0.06905655562877655,0.6685879230499268,1.5098881721496582
21,0.975643515586853,0.06999355554580688,0.6743515729904175,1.4630250930786133
22,0.9773041605949402,0.05979077145457268,0.6772334575653076,1.5332529544830322
23,0.9775809645652771,0.06145980954170227,0.651296854019165,1.5894767045974731
24,0.9767506122589111,0.061635345220565796,0.6714697480201721,1.567238450050354
